ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED
106,mistral-small,2024-September-02 11:55:02,2024-September-02 11:55:07,2.045256376,2.896365404,4.941622972,20,570,203,1.226810217,100.00%,FALSE
107,mistral-small,2024-September-02 11:55:11,2024-September-02 11:55:14,3,0,3,20,570,0,1.093875647,0,TRUE
108,mistral-small,2024-September-02 11:55:18,2024-September-02 11:55:23,1.998178959,2.801026583,4.799206734,20,570,201,1.253958225,100.00%,FALSE
109,mistral-small,2024-September-02 11:55:28,2024-September-02 11:55:34,3.00241065,2.853343964,5.855755568,20,570,195,1.275728941,100.00%,FALSE
110,mistral-small,2024-September-02 11:55:39,2024-September-02 11:55:44,2.348484278,2.686968803,5.035454273,20,570,190,1.116148472,100.00%,FALSE
111,gemini-1.5-flash,2024-September-02 11:56:11,2024-September-02 11:56:16,1.700984478,3.163511515,4.864496946,20,570,221,1.21393466,100.00%,FALSE
112,gemini-1.5-flash,2024-September-02 11:56:21,2024-September-02 11:56:26,1.607875347,2.705767393,4.313643932,20,570,220,1.081825972,100.00%,FALSE
113,gemini-1.5-flash,2024-September-02 11:56:30,2024-September-02 11:56:32,2,0,2,20,570,0,1.1567173,0,TRUE
114,gemini-1.5-flash,2024-September-02 11:56:37,2024-September-02 11:56:38,1,0,1,20,570,0,1.136936903,0,TRUE
115,gemini-1.5-flash,2024-September-02 11:56:43,2024-September-02 11:56:44,1,0,1,20,570,0,1.126417637,0,TRUE
116,gemini-1.5-flash,2024-September-02 11:59:10,2024-September-02 11:59:12,2,0,2,20,570,0,1.135436058,0,TRUE
117,gemini-1.5-flash,2024-September-02 11:59:16,2024-September-02 11:59:21,1.959048986,2.923977375,4.883027792,20,570,208,1.055790424,100.00%,FALSE
118,gemini-1.5-flash,2024-September-02 11:59:26,2024-September-02 11:59:30,1.664015293,2.90363574,4.567652225,20,570,221,1.198653936,100.00%,FALSE
119,gemini-1.5-flash,2024-September-02 11:59:35,2024-September-02 11:59:37,2,0,2,20,570,0,1.225427389,0,TRUE
120,gemini-1.5-flash,2024-September-02 11:59:42,2024-September-02 11:59:44,2,0,2,20,570,0,1.172347784,0,TRUE
121,gpt-3.5-turbo,2024-September-02 12:01:05,2024-September-02 12:01:13,8,0,8,20,570,0,1.209014893,0,TRUE
