ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
94,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:31:51,2024-September-02 18:32:06,7.690903902,2.973734856,10.664639711,48,531,2450,3.010364294,100.0%,false,None,
95,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:32:09,2024-September-02 18:32:25,10.022134542,2.817950487,12.840086222,49,531,4564,2.994214773,100.0%,false,None,
96,mistral-small,advancements,2024-September-02 18:32:27,2024-September-02 18:32:41,0,0,0,20,0,0,2.811862707,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
97,mistral-small,advancements,2024-September-02 18:32:44,2024-September-02 18:32:48,0,0,0,20,0,0,2.385552406,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
97,gpt-3.5-turbo,advancements,2024-September-02 18:32:46,2024-September-02 18:33:01,0,0,0,20,0,0,2.465412855,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
98,mistral-small,advancements,2024-September-02 18:32:50,2024-September-02 18:33:02,0,0,0,20,0,0,2.403362989,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
99,mistral-small,advancements,2024-September-02 18:33:05,2024-September-02 18:33:15,0,0,0,20,0,0,2.682160139,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
99,gpt-3.5-turbo,advancements,2024-September-02 18:33:03,2024-September-02 18:33:22,0,0,0,20,0,0,2.370497227,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
100,mistral-small,advancements,2024-September-02 18:33:18,2024-September-02 18:33:31,0,0,0,20,0,0,2.585899115,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
100,gpt-3.5-turbo,advancements,2024-September-02 18:33:25,2024-September-02 18:33:42,0,0,0,20,0,0,2.430037737,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
101,gpt-3.5-turbo,advancements,2024-September-02 18:33:45,2024-September-02 18:33:58,0,0,0,20,0,0,2.408323288,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
101,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:33:52,2024-September-02 18:34:04,4.946673393,2.835911512,7.782586098,51,531,2769,3.133603573,100.0%,false,None,
102,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:34:07,2024-September-02 18:34:16,0,0,0,51,0,0,3.178179502,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
102,gpt-3.5-turbo,advancements,2024-September-02 18:34:01,2024-September-02 18:34:21,0,0,0,20,0,0,2.336378336,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
103,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:34:19,2024-September-02 18:34:32,5.431558132,2.916883707,8.348442793,50,531,3203,3.076634884,100.0%,false,None,
104,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:34:34,2024-September-02 18:34:42,0,0,0,50,0,0,2.769623756,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
