ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,CORRECTNESS
116,gemini-1.5-flash,2024-September-02 10:33:23,2024-September-02 10:33:25,0.607355118,1.166726351,1.774083376,100,936,1258,32,100.00%
117,gemini-1.5-flash,2024-September-02 10:33:29,2024-September-02 10:33:31,0.528596401,1.014454842,1.543053389,100,936,1258,32,100.00%
118,gemini-1.5-flash,2024-September-02 10:33:35,2024-September-02 10:33:37,0.685800552,1.024549007,1.710351944,100,936,1258,32,100.00%
119,gemini-1.5-flash,2024-September-02 10:33:41,2024-September-02 10:33:43,0.67081666,1.138022184,1.808840036,100,936,1258,32,100.00%
120,gemini-1.5-flash,2024-September-02 10:33:47,2024-September-02 10:33:50,0.615736723,1.215262413,1.831001282,100,936,1258,32,100.00%
121,gpt-3.5-turbo,2024-September-02 10:38:47,2024-September-02 10:38:49,0.44938159,1.17092967,1.620312929,100,936,1416,21,100.00%
122,gpt-3.5-turbo,2024-September-02 10:38:53,2024-September-02 10:38:56,0.452172041,1.066575289,1.518748999,100,936,1416,21,100.00%
123,gpt-3.5-turbo,2024-September-02 10:38:59,2024-September-02 10:39:02,0.517555952,1.216225386,1.733783007,100,936,1416,33,100.00%
124,gpt-3.5-turbo,2024-September-02 10:39:06,2024-September-02 10:39:28,20.55761004,1.133037806,21.69065023,100,936,1416,33,100.00%
125,gpt-3.5-turbo,2024-September-02 10:39:33,2024-September-02 10:39:36,0.48713541,1.21932435,1.706461191,100,936,1416,33,100.00%
126,gpt-3.5-turbo,2024-September-02 10:39:39,2024-September-02 10:40:02,20.6822598,1.161904097,21.84416556,100,936,1416,33,100.00%
127,gpt-3.5-turbo,2024-September-02 10:40:06,2024-September-02 10:40:28,20.61106753,1.093715191,21.70478439,100,936,1416,33,100.00%
128,gpt-3.5-turbo,2024-September-02 10:40:32,2024-September-02 10:40:35,0.800823689,1.192474842,1.993299961,100,936,1416,33,100.00%
129,gpt-3.5-turbo,2024-September-02 10:40:39,2024-September-02 10:41:01,20.58789587,1.193644762,21.78154182,100,936,1416,21,100.00%
130,gpt-3.5-turbo,2024-September-02 10:41:05,2024-September-02 10:41:27,20.57013607,1.077208281,21.64734626,100,936,1416,21,100.00%
131,gpt-4,2024-September-02 10:41:52,2024-September-02 10:42:14,20.89822531,1.103888035,22.00211453,100,936,1416,20,100.00%
132,gpt-4,2024-September-02 10:42:18,2024-September-02 10:42:21,0.950836182,1.145259619,2.096097231,100,936,1416,20,100.00%
133,gpt-4,2024-September-02 10:42:25,2024-September-02 10:42:48,20.85276008,1.096316099,21.94907785,100,936,1416,20,100.00%
134,gpt-4,2024-September-02 10:42:52,2024-September-02 10:43:14,20.93216467,1.063818455,21.99598479,100,936,1416,20,100.00%
135,gpt-4,2024-September-02 10:43:18,2024-September-02 10:43:21,0.747887373,1.14137888,1.889267683,100,936,1416,20,100.00%
136,gpt-4,2024-September-02 10:43:25,2024-September-02 10:43:48,20.88102627,1.193328619,22.07435679,100,936,1416,20,100.00%
137,gpt-4,2024-September-02 10:43:52,2024-September-02 10:44:15,20.74385476,1.587890625,22.33174634,100,936,1416,20,100.00%
138,gpt-4,2024-September-02 10:44:19,2024-September-02 10:44:22,0.66096282,1.040787935,1.701752424,100,936,1416,20,100.00%
139,gpt-4,2024-September-02 10:44:25,2024-September-02 10:44:48,20.7606113,0.931051731,21.6916647,100,936,1416,20,100.00%
140,gpt-4,2024-September-02 10:44:52,2024-September-02 10:45:15,21.0227313,1.24991107,22.27264428,100,936,1416,20,100.00%
141,gemini-1.5-flash,2024-September-02 10:46:15,2024-September-02 10:46:17,0.426408291,1.094428539,1.520838499,100,936,1258,32,100.00%
142,gemini-1.5-flash,2024-September-02 10:46:21,2024-September-02 10:46:23,0.579236984,1.040650129,1.619888783,100,936,1258,32,100.00%
143,gemini-1.5-flash,2024-September-02 10:46:27,2024-September-02 10:46:29,0.41873765,1.11579895,1.534538031,100,936,1258,32,100.00%
144,gemini-1.5-flash,2024-September-02 10:46:33,2024-September-02 10:46:35,0.384748459,1.023137808,1.407888174,100,936,1258,32,100.00%
145,gemini-1.5-flash,2024-September-02 10:46:39,2024-September-02 10:46:41,0.528070211,1.103450537,1.63152194,100,936,1258,32,100.00%
146,gemini-1.5-flash,2024-September-02 10:46:45,2024-September-02 10:46:49,2.547594786,1.225701332,3.773297787,100,936,1258,32,100.00%
147,gemini-1.5-flash,2024-September-02 10:46:53,2024-September-02 10:46:56,0.578241825,1.136041164,1.714284182,100,936,1258,32,100.00%
148,gemini-1.5-flash,2024-September-02 10:46:59,2024-September-02 10:47:02,0.537645102,1.104340315,1.641987324,100,936,1258,32,100.00%
149,gemini-1.5-flash,2024-September-02 10:47:05,2024-September-02 10:47:08,0.373848915,1.135081768,1.508932352,100,936,1258,32,100.00%
150,gemini-1.5-flash,2024-September-02 10:47:11,2024-September-02 10:47:14,0.611688137,1.144066572,1.755757332,100,936,1258,32,100.00%
151,mistral-small,2024-September-02 10:48:51,2024-September-02 10:48:53,0.423320055,1.113630533,1.536952496,100,936,1536,22,100.00%
152,mistral-small,2024-September-02 10:48:57,2024-September-02 10:48:59,0.620720863,1.076219082,1.696941137,100,936,1536,22,100.00%
153,mistral-small,2024-September-02 10:49:03,2024-September-02 10:49:05,0.557436705,1.323713779,1.881152391,100,936,1536,22,100.00%
154,mistral-small,2024-September-02 10:49:09,2024-September-02 10:49:11,0.790901423,1.113847256,1.904751062,100,936,1536,22,100.00%
155,mistral-small,2024-September-02 10:49:15,2024-September-02 10:49:18,0.40955925,1.26391387,1.673474789,100,936,1536,22,100.00%
156,mistral-small,2024-September-02 10:49:21,2024-September-02 10:49:23,0.520867109,1.009843111,1.530712366,100,936,1536,22,100.00%
157,mistral-small,2024-September-02 10:49:27,2024-September-02 10:49:29,0.467308283,1.117607594,1.584917784,100,936,1536,22,100.00%
158,mistral-small,2024-September-02 10:49:33,2024-September-02 10:49:36,0.601543188,1.065587521,1.667132378,100,936,1536,22,100.00%
159,mistral-small,2024-September-02 10:49:39,2024-September-02 10:49:42,0.63595438,1.078094721,1.714050293,100,936,1536,22,100.00%
160,mistral-small,2024-September-02 10:49:46,2024-September-02 10:49:48,0.550992489,1.080899954,1.631893873,100,936,1536,22,100.00%
161,gpt-3.5-turbo,2024-September-02 16:30:34,2024-September-02 16:30:38,0.540240765,1.378416777,1.918658495,100,936,1416,33,100.00%
