ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS
40,gemini-1.5-flash,2024-September-02 07:11:49,2024-September-02 07:11:54,0.728090763,2.909318924,4.56719327,5,5,799,46,95,60.00%
41,gemini-1.5-flash,2024-September-02 07:12:00,2024-September-02 07:12:05,0.68665123,3.215459108,4.781349182,5,5,798,43,95,100.00%
42,gpt-3.5-turbo,2024-September-02 07:20:50,2024-September-02 07:20:56,1.926270485,2.954618692,5.79166913,10,10,492,192,175,100.00%
43,gpt-3.5-turbo,2024-September-02 07:21:09,2024-September-02 07:21:14,1.88739109,2.647599697,5.473876953,10,10,490,156,175,100.00%
44,gpt-3.5-turbo,2024-September-02 07:21:23,2024-September-02 07:21:28,1.655114174,2.75172925,5.282681227,10,10,490,156,175,100.00%
45,gpt-3.5-turbo,2024-September-02 07:21:37,2024-September-02 07:21:42,1.357769489,2.863651037,5.177586317,10,10,492,159,175,100.00%
46,gpt-3.5-turbo,2024-September-02 07:21:48,2024-September-02 07:21:53,1.281221628,2.763443947,5.034008026,10,10,490,156,175,100.00%
47,gpt-3.5-turbo,2024-September-02 07:21:58,2024-September-02 07:22:03,2.16373682,2.654498816,5.678426981,10,10,490,156,175,100.00%
48,gpt-3.5-turbo,2024-September-02 07:22:14,2024-September-02 07:22:19,1.525834322,2.793413401,5.222683668,10,10,492,157,175,100.00%
49,gpt-3.5-turbo,2024-September-02 07:22:27,2024-September-02 07:22:53,21.9358685,3.028635263,25.85232568,10,10,491,157,175,100.00%
50,gpt-3.5-turbo,2024-September-02 07:23:35,2024-September-02 07:23:40,1.514586926,2.793740749,5.246574402,10,10,491,157,175,100.00%
51,gpt-3.5-turbo,2024-September-02 07:23:50,2024-September-02 07:23:55,1.51661849,2.739869595,5.123158216,10,10,491,157,175,100.00%
52,gpt-4,2024-September-02 07:24:26,2024-September-02 07:24:36,7.064996719,2.915178299,10.85702992,10,10,490,243,175,100.00%
