ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS
107,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:25:56,2024-September-02 18:26:05,2.10729146,3.007173777,5.11446619,20,531,939,2.875367641,100.00%
108,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:26:07,2024-September-02 18:26:17,2.114553452,3.558841705,5.673396111,20,531,1102,2.929610252,100.00%
109,gpt-4,hyperloop_specifications,2024-September-02 18:25:59,2024-September-02 18:26:20,13.29562903,3.744773865,17.04040384,20,531,1344,2.971404314,100.00%
110,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:26:20,2024-September-02 18:26:29,2.613699436,2.860110283,5.473810911,20,531,1413,2.823594332,100.00%
111,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:26:32,2024-September-02 18:26:40,1.949090242,2.842934132,4.792025328,40,531,1055,2.941702366,100.00%
112,gemini-1.5-flash,advancements,2024-September-02 18:27:15,2024-September-02 18:27:25,4.782894373,2.757503986,7.54039979,20,626,2726,2.444846392,100.00%
113,gemini-1.5-flash,advancements,2024-September-02 18:27:28,2024-September-02 18:27:39,4.647676945,2.760040522,7.407718897,20,626,2672,2.338193417,100.00%
114,gemini-1.5-flash,advancements,2024-September-02 18:27:42,2024-September-02 18:27:52,4.573341608,2.921970129,7.495312691,20,626,2595,2.490288496,100.00%
115,gemini-1.5-flash,advancements,2024-September-02 18:27:55,2024-September-02 18:28:03,0,0,0,20,0,0,2.150730848,0
116,gpt-4,advancements,2024-September-02 18:27:38,2024-September-02 18:28:05,21.20832586,2.912032127,24.12035894,20,626,2137,2.740742445,100.00%
117,gemini-1.5-flash,advancements,2024-September-02 18:28:06,2024-September-02 18:28:16,3.646952391,3.110025406,6.756978989,20,626,2349,2.797858,100.00%
118,gpt-4,advancements,2024-September-02 18:28:08,2024-September-02 18:28:31,15.79145742,3.719562769,19.51102114,20,626,1550,2.554950476,100.00%
119,gpt-4,advancements,2024-September-02 18:28:34,2024-September-02 18:28:55,14.0344038,2.960156202,16.9945612,20,626,1373,2.372291088,100.00%
120,gpt-4,advancements,2024-September-02 18:28:58,2024-September-02 18:29:21,16.31429792,3.025021553,19.33932018,20,626,1400,2.524485111,100.00%
121,gpt-4,advancements,2024-September-02 18:29:24,2024-September-02 18:29:48,18.67747355,2.887646675,21.56512165,20,626,1563,2.458618164,100.00%
