ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
63,mistral-small,2024-September-02 07:28:53,2024-September-02 07:28:58,1.859355211,3.059426785,5.841057062,10,10,871,146,197,90.0%,false,None,
64,mistral-small,2024-September-02 08:07:23,2024-September-02 08:07:29,1.599522114,3.139743567,5.955847025,10,10,853,127,175,100.0%,false,None,
65,mistral-small,2024-September-02 08:07:37,2024-September-02 08:07:42,0,0,5.177685022,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
66,mistral-small,2024-September-02 08:07:52,2024-September-02 08:07:56,0,0,3.548317671,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
67,mistral-small,2024-September-02 08:08:36,2024-September-02 08:08:41,1.41745019,2.836580992,5.227861166,10,10,851,118,175,100.0%,false,None,
68,mistral-small,2024-September-02 08:08:48,2024-September-02 08:08:51,0,0,3.18674016,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
69,mistral-small,2024-September-02 08:09:05,2024-September-02 08:09:11,1.426033258,2.933127165,5.245079756,10,10,853,127,175,100.0%,false,None,
70,mistral-small,2024-September-02 08:09:23,2024-September-02 08:09:28,1.441725254,2.732285976,5.097585201,10,10,852,111,175,100.0%,false,None,
71,mistral-small,2024-September-02 08:09:39,2024-September-02 08:09:44,1.47870636,2.946532965,5.30043602,10,10,854,133,175,100.0%,false,None,
72,gemini-1.5-flash,2024-September-02 08:10:10,2024-September-02 08:10:15,1.086736679,2.977393389,4.916880369,10,10,853,113,175,100.0%,false,None,
73,gemini-1.5-flash,2024-September-02 08:10:26,2024-September-02 08:10:31,1.088893652,2.779726982,4.761125088,10,10,854,103,175,100.0%,false,None,
74,gemini-1.5-flash,2024-September-02 08:10:37,2024-September-02 08:10:42,0.8437812328,2.873581409,4.709971905,10,10,854,93,175,100.0%,false,None,
75,gemini-1.5-flash,2024-September-02 08:10:52,2024-September-02 08:10:57,0.9412019253,2.765781403,4.704150438,10,10,852,102,175,100.0%,false,None,
76,gemini-1.5-flash,2024-September-02 08:11:07,2024-September-02 08:11:12,0.8919425011,2.877267599,4.610085011,10,10,852,90,175,100.0%,false,None,
77,gemini-1.5-flash,2024-September-02 08:11:18,2024-September-02 08:11:23,0.9535765648,2.833594799,4.71220994,10,10,851,90,175,100.0%,false,None,
78,gemini-1.5-flash,2024-September-02 08:11:29,2024-September-02 08:11:34,0.9093165398,3.019552946,4.836094856,10,10,851,90,175,100.0%,false,None,
79,gemini-1.5-flash,2024-September-02 08:11:41,2024-September-02 08:11:45,0.8369233608,2.792198181,4.47822094,10,10,851,90,175,100.0%,false,None,
80,gemini-1.5-flash,2024-September-02 08:11:51,2024-September-02 08:11:56,0.8605349064,2.984194994,4.757747889,10,10,851,90,175,100.0%,false,None,
81,gemini-1.5-flash,2024-September-02 08:12:06,2024-September-02 08:12:11,0.9094655514,2.714406252,4.552832127,10,10,851,90,175,100.0%,false,None,
82,gpt-3.5-turbo,2024-September-02 08:13:14,2024-September-02 08:13:21,3.024562597,3.120467901,7.136377335,20,20,620,530,356,100.0%,false,None,
83,gpt-3.5-turbo,2024-September-02 08:13:30,2024-September-02 08:13:36,2.978945255,2.698192835,6.544201612,20,20,621,353,356,100.0%,false,None,
84,gpt-3.5-turbo,2024-September-02 08:14:05,2024-September-02 08:14:11,2.804826736,2.831343412,6.489948034,20,20,622,287,356,100.0%,false,None,
85,gpt-3.5-turbo,2024-September-02 08:14:21,2024-September-02 08:14:27,2.218204737,2.906285524,5.984258413,20,20,621,287,356,100.0%,false,None,
86,gpt-3.5-turbo,2024-September-02 08:14:50,2024-September-02 08:14:56,2.250099182,2.889523506,6.021690369,20,20,621,287,356,100.0%,false,None,
87,gpt-3.5-turbo,2024-September-02 08:15:07,2024-September-02 08:15:14,3.448307753,2.840658188,7.160649776,20,20,621,353,356,100.0%,false,None,
88,gpt-3.5-turbo,2024-September-02 08:15:20,2024-September-02 08:15:27,2.314310551,2.989861727,6.272601128,20,20,612,278,356,100.0%,false,None,
89,gpt-3.5-turbo,2024-September-02 08:15:33,2024-September-02 08:15:39,2.696671724,3.024801016,6.57667017,20,20,612,278,356,100.0%,false,None,
90,gpt-3.5-turbo,2024-September-02 08:15:47,2024-September-02 08:15:53,2.172463655,2.854008675,6.036239386,20,20,612,278,356,100.0%,false,None,
91,gpt-3.5-turbo,2024-September-02 08:16:04,2024-September-02 08:16:10,2.398302794,3.038251877,6.441586018,20,20,619,289,356,100.0%,false,None,
92,gpt-4,2024-September-02 08:16:27,2024-September-02 08:16:39,7.657416582,3.011922598,11.573204279,20,20,620,286,356,100.0%,false,None,
93,gpt-4,2024-September-02 08:16:47,2024-September-02 08:17:00,8.610610723,2.999326706,12.581302166,20,20,620,286,356,100.0%,false,None,
94,gpt-4,2024-September-02 08:17:22,2024-September-02 08:17:40,14.233875036,2.941153288,18.030359745,20,20,620,350,356,100.0%,false,None,
95,gpt-4,2024-September-02 08:17:50,2024-September-02 08:18:02,7.959134102,3.018668413,11.7859869,20,20,621,285,356,100.0%,false,None,
96,gpt-4,2024-September-02 08:18:11,2024-September-02 08:18:23,8.173041344,2.779518843,11.809024096,20,20,619,285,356,100.0%,false,None,
97,gpt-4,2024-September-02 08:18:31,2024-September-02 08:18:43,8.830452442,2.847427845,12.60554862,20,20,619,285,356,100.0%,false,None,
98,gpt-4,2024-September-02 08:18:49,2024-September-02 08:19:02,8.804280281,3.084923029,12.778841734,20,20,619,285,356,100.0%,false,None,
99,gpt-4,2024-September-02 08:19:08,2024-September-02 08:19:22,9.940165281,2.94879508,13.751803875,20,20,619,285,356,100.0%,false,None,
100,gpt-4,2024-September-02 08:19:32,2024-September-02 08:19:44,8.367544889,2.905166388,12.222032785,20,20,619,285,356,100.0%,false,None,
101,gpt-4,2024-September-02 08:20:10,2024-September-02 08:20:23,9.070482016,2.980737925,13.013789177,20,20,619,285,356,100.0%,false,None,
102,mistral-small,2024-September-02 08:20:36,2024-September-02 08:20:47,7.47933197,2.875120163,11.221611738,20,20,983,518,398,100.0%,false,None,
103,mistral-small,2024-September-02 08:21:26,2024-September-02 08:21:31,0,0,5.438711643,20,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
104,mistral-small,2024-September-02 08:21:57,2024-September-02 08:22:05,4.145760298,2.952659369,7.947030783,20,20,980,423,398,100.0%,false,None,
105,mistral-small,2024-September-02 08:22:15,2024-September-02 08:22:23,5.052892923,2.773235321,8.677034616,20,20,985,512,398,100.0%,false,None,
106,mistral-small,2024-September-02 08:22:30,2024-September-02 08:22:37,3.89921546,2.760810852,7.499332666,20,20,1137,352,398,100.0%,false,None,
107,mistral-small,2024-September-02 08:22:43,2024-September-02 08:22:51,3.866075993,2.739336729,7.441973925,20,20,1110,383,398,100.0%,false,None,
108,mistral-small,2024-September-02 08:22:57,2024-September-02 08:23:02,0,0,5.165360689,20,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
109,mistral-small,2024-September-02 08:23:13,2024-September-02 08:23:19,0,0,6.096534491,20,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
110,mistral-small,2024-September-02 08:23:32,2024-September-02 08:23:39,2.858917475,2.928979158,6.784422159,20,20,979,270,356,100.0%,false,None,
111,mistral-small,2024-September-02 08:23:51,2024-September-02 08:23:57,2.399914742,2.786252737,6.061386585,20,20,982,233,356,100.0%,false,None,
112,gemini-1.5-flash,2024-September-02 08:24:17,2024-September-02 08:24:23,1.419727564,2.912652969,5.197476387,20,20,981,190,356,100.0%,false,None,
113,gemini-1.5-flash,2024-September-02 08:24:34,2024-September-02 08:24:39,1.487804651,2.913895607,5.280709267,20,20,983,212,356,100.0%,false,None,
114,gemini-1.5-flash,2024-September-02 08:24:45,2024-September-02 08:24:47,0,0,2.35847497,20,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
115,gemini-1.5-flash,2024-September-02 08:25:16,2024-September-02 08:25:19,0,0,2.439392567,20,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
116,gemini-1.5-flash,2024-September-02 08:25:51,2024-September-02 08:25:56,1.546701908,2.772553444,5.22261548,20,20,984,230,356,100.0%,false,None,
117,gemini-1.5-flash,2024-September-02 08:26:06,2024-September-02 08:26:12,1.659104347,3.687403917,6.242403507,20,20,982,229,356,100.0%,false,None,
118,gemini-1.5-flash,2024-September-02 08:26:18,2024-September-02 08:26:20,0,0,2.311050177,20,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
119,gemini-1.5-flash,2024-September-02 08:26:31,2024-September-02 08:26:36,1.555080652,2.688980103,5.154116869,20,20,983,210,356,95.0%,false,None,
120,gemini-1.5-flash,2024-September-02 08:26:42,2024-September-02 08:26:47,1.4793818,2.790596008,5.160063028,20,20,982,188,356,100.0%,false,None,
121,gemini-1.5-flash,2024-September-02 08:26:58,2024-September-02 08:27:03,1.691635847,2.876060486,5.465549469,20,20,983,229,356,90.0%,false,None,
122,gpt-3.5-turbo,2024-September-02 08:28:16,2024-September-02 08:28:25,5.403758764,3.009594202,9.391865969,50,50,1002,667,866,100.0%,false,None,
123,gpt-3.5-turbo,2024-September-02 08:28:35,2024-September-02 08:28:45,5.175359249,2.957008839,9.043953657,50,50,1009,675,866,100.0%,false,None,
124,gpt-3.5-turbo,2024-September-02 08:28:50,2024-September-02 08:28:59,4.68676877,2.817038774,8.395991802,50,50,1009,675,866,100.0%,false,None,
125,gpt-3.5-turbo,2024-September-02 08:29:05,2024-September-02 08:29:14,5.065550327,3.146179438,9.101044893,50,50,1009,675,866,100.0%,false,None,
126,gpt-3.5-turbo,2024-September-02 08:29:26,2024-September-02 08:29:37,7.286068916,2.748914719,10.959520102,50,50,1004,834,866,100.0%,false,None,
