Time,Energy_Consumption_kWh,CO2_Emissions_kg,Material_Sustainability_Score,Environmental_Impact_Score
54,29.699999999999996,14.849999999999998,0.7700000000000002,0.3114999999999998
55,30.799999999999997,15.399999999999999,0.7750000000000002,0.29599999999999976
56,31.919999999999998,15.959999999999999,0.7800000000000002,0.28039999999999976
57,33.059999999999995,16.529999999999998,0.7850000000000003,0.26469999999999977
58,34.21999999999999,17.109999999999996,0.7900000000000003,0.24889999999999976
59,35.39999999999999,17.699999999999996,0.7950000000000003,0.23299999999999976
60,36.599999999999994,18.299999999999997,0.8000000000000003,0.21699999999999975
61,37.81999999999999,18.909999999999997,0.8050000000000003,0.20089999999999975
62,39.059999999999995,19.529999999999998,0.8100000000000003,0.18469999999999975
63,40.31999999999999,20.159999999999997,0.8150000000000003,0.16839999999999974
64,41.599999999999994,20.799999999999997,0.8200000000000003,0.15199999999999975
65,42.89999999999999,21.449999999999996,0.8250000000000003,0.13549999999999973
66,44.21999999999999,22.109999999999996,0.8300000000000003,0.11889999999999973
67,45.559999999999995,22.779999999999998,0.8350000000000003,0.10219999999999972
68,46.919999999999995,23.459999999999997,0.8400000000000003,0.08539999999999971
69,48.3,24.15,0.8450000000000003,0.0684999999999997
70,49.699999999999996,24.849999999999998,0.8500000000000003,0.05149999999999969
71,51.12,25.56,0.8550000000000003,0.03439999999999968
72,52.559999999999995,26.279999999999998,0.8600000000000003,0.017199999999999674
73,54.019999999999996,27.009999999999998,0.8650000000000003,-0.00010000000000033246
74,55.49999999999999,27.749999999999996,0.8700000000000003,-0.017500000000000338
75,56.99999999999999,28.499999999999996,0.8750000000000003,-0.03500000000000035
76,58.519999999999996,29.259999999999998,0.8800000000000003,-0.052600000000000355
77,60.059999999999995,30.029999999999998,0.8850000000000003,-0.07030000000000036
78,61.62,30.81,0.8900000000000003,-0.08810000000000037
79,63.199999999999996,31.599999999999998,0.8950000000000004,-0.10600000000000037
80,64.8,32.4,0.9000000000000004,-0.12400000000000039
81,66.42,33.21,0.9050000000000004,-0.1421000000000004
82,68.06,34.03,0.9100000000000004,-0.1603000000000004
83,69.72,34.86,0.9150000000000004,-0.1786000000000004
84,71.4,35.7,0.9200000000000004,-0.1970000000000004
85,73.10000000000001,36.550000000000004,0.9250000000000004,-0.2155000000000004
86,74.82000000000001,37.410000000000004,0.9300000000000004,-0.23410000000000042
87,76.56,38.28,0.9350000000000004,-0.2528000000000004
88,78.32000000000001,39.160000000000004,0.9400000000000004,-0.2716000000000004
89,80.10000000000001,40.050000000000004,0.9450000000000004,-0.2905000000000004
90,81.9,40.95,0.9500000000000004,-0.30950000000000044
91,83.72,41.86,0.9550000000000004,-0.32860000000000045
92,85.56,42.78,0.9600000000000004,-0.34780000000000044
93,87.42,43.71,0.9650000000000004,-0.3671000000000004
94,89.3,44.65,0.9700000000000004,-0.38650000000000045
95,91.2,45.6,0.9750000000000004,-0.40600000000000047
96,93.12,46.56,0.9800000000000004,-0.4256000000000005
97,95.06,47.53,0.9850000000000004,-0.4453000000000005
98,97.02,48.51,0.9900000000000004,-0.46510000000000046
99,99.0,49.5,0.9950000000000004,-0.4850000000000005
